"Custid","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","DepVar"
610628042,1974,"PhD","Divorced",25509,1,0,"2012-09-18",15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,0,3,11,1
610630465,1961,"Graduation","Married",62784,0,1,"2013-01-26",19,563,8,215,21,16,41,2,2,4,6,8,0,1,0,0,0,0,3,11,1
816148988,1959,"PhD","Married",49095,1,1,"2012-12-23",58,163,2,53,3,2,6,6,5,1,4,8,0,0,0,0,0,0,3,11,1
1438665668,1944,"Master","Single",90781,0,0,"2014-02-27",54,757,189,946,192,63,63,1,6,7,9,2,0,0,1,1,0,0,3,11,1
1230107924,1980,"2n Cycle","Married",15662,2,0,"2013-04-03",74,2,7,4,13,6,29,2,2,1,2,7,1,0,0,0,0,0,3,11,1
406112698,1979,"PhD","Divorced",80247,0,0,"2013-05-05",17,981,40,920,0,81,122,1,7,8,6,4,0,0,0,1,0,0,3,11,1
406114948,1957,"2n Cycle","Divorced",77297,0,0,"2013-01-26",84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,3,11,1
202558871,1993,"Graduation","Single",92418,0,0,"2013-08-17",7,756,81,593,27,43,224,1,4,7,10,1,0,0,0,0,0,0,3,11,1
202556315,1979,"PhD","Divorced",39674,1,0,"2013-10-25",18,120,1,22,6,3,73,2,4,2,2,8,1,0,0,0,0,0,3,11,1
1438669579,1985,"Graduation","Single",92874,0,0,"2013-04-02",6,563,43,122,225,173,130,1,7,4,12,4,0,0,1,0,0,0,3,11,1
1438662600,1969,"Graduation","Married",21990,1,0,"2013-04-07",19,2,0,6,0,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,1
406105370,1971,"Master","Married",31429,1,0,"2013-01-07",32,19,5,49,7,14,32,3,3,1,3,8,0,0,0,0,0,0,3,11,1
816146906,1972,"Graduation","Together",54800,0,1,"2013-01-28",43,264,0,73,4,3,13,3,7,2,4,8,0,1,0,0,0,0,3,11,1
816152941,1981,"PhD","Together",52145,1,0,"2012-11-28",83,427,6,144,51,39,65,6,7,2,10,6,0,0,0,0,0,0,3,11,1
202552668,1964,"2n Cycle","Divorced",88712,0,0,"2013-11-19",98,323,33,611,163,40,215,1,4,9,4,1,0,0,1,1,0,0,3,11,1
816153434,1947,"PhD","Single",55995,0,1,"2013-12-03",48,627,0,19,0,0,12,3,10,3,6,7,0,1,0,0,0,0,3,11,1
816152702,1980,"Master","Divorced",78789,0,0,"2012-08-08",12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,0,3,11,1
1022668884,1977,"Graduation","Divorced",88164,0,0,"2012-11-15",91,823,32,801,32,44,111,1,6,2,6,3,0,1,1,1,0,0,3,11,1
1230114335,1983,"Graduation","Divorced",82025,0,0,"2013-05-28",76,267,98,606,48,70,98,1,3,2,6,1,0,0,1,0,0,0,3,11,1
1438669019,1969,"PhD","Together",69476,0,0,"2013-09-30",3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,1
406114753,1950,"PhD","Together",87575,0,0,"2012-12-04",17,694,99,112,25,59,39,1,5,8,7,3,0,0,0,0,0,0,3,11,1
816155297,1977,"PhD","Together",102160,0,0,"2012-11-02",54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1
406105345,1963,"Graduation","Single",65855,0,1,"2012-12-01",79,1246,13,67,0,13,174,4,3,3,4,7,0,1,1,0,1,0,3,11,1
1022677387,1952,"Graduation","Divorced",86174,0,0,"2012-11-08",60,214,37,489,238,28,76,1,4,5,4,2,0,0,0,0,0,0,3,11,1
1022675782,1963,"Graduation","Single",48178,0,1,"2014-03-15",13,402,0,30,6,0,140,4,6,6,3,6,1,0,1,0,0,0,3,11,1
406108007,1962,"PhD","Divorced",32029,1,1,"2012-10-12",71,37,1,15,2,0,11,3,2,1,2,9,0,0,0,0,0,0,3,11,1
202554868,1984,"2n Cycle","Single",19746,1,0,"2014-05-10",3,4,18,18,10,10,46,3,4,1,2,8,0,0,0,0,0,0,3,11,1
610628311,1951,"Graduation","Single",88698,0,0,"2013-09-02",89,756,20,117,52,61,122,1,4,10,7,2,1,0,1,1,0,0,3,11,1
1022678189,1962,"2n Cycle","Divorced",42173,1,1,"2012-11-26",95,287,24,150,25,4,29,9,6,6,4,8,1,0,0,0,0,0,3,11,1
1438668036,1993,"Graduation","Single",87546,0,0,"2013-02-19",4,170,132,687,34,105,26,1,7,6,8,4,0,1,1,1,1,0,3,11,1
1230105990,1988,"2n Cycle","Single",81716,0,0,"2012-10-19",49,1198,21,357,31,105,21,1,8,6,8,3,0,0,1,0,0,0,3,11,1
406112115,1977,"Graduation","Single",37774,2,0,"2012-09-03",28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,3,11,1
816147538,1957,"Graduation","Divorced",42537,1,1,"2012-10-03",69,35,11,37,4,2,45,3,2,0,4,8,1,0,0,0,0,0,3,11,1
816155720,1983,"PhD","Single",74618,0,0,"2013-09-15",16,623,95,623,186,127,47,1,5,5,4,2,0,0,0,0,0,0,3,11,1
610631237,1974,"2n Cycle","Married",100362,0,0,"2014-01-17",24,963,35,790,257,172,24,1,7,6,5,2,0,0,1,1,1,0,3,11,1
406106374,1967,"PhD","Together",43626,1,0,"2012-08-25",90,260,0,63,30,47,39,4,6,1,7,8,0,0,0,0,0,0,3,11,1
1438669067,1958,"Graduation","Divorced",62440,0,1,"2013-01-24",4,240,99,414,11,66,223,4,4,3,5,3,0,0,0,0,0,0,3,11,1
1438664471,1985,"2n Cycle","Single",89555,0,0,"2013-02-10",39,1213,45,732,149,160,0,0,3,5,7,1,0,1,1,0,0,0,3,11,1
610629877,1990,"Graduation","Married",30891,1,0,"2013-06-30",18,69,30,105,37,23,23,4,6,1,4,8,0,0,0,0,0,0,3,11,1
1438670504,1970,"Graduation","Divorced",64713,1,0,"2014-02-07",11,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,0,3,11,1
610628529,1972,"Graduation","Single",94469,1,1,"2013-06-02",5,1002,117,221,172,0,176,5,5,3,4,5,0,0,0,0,0,0,3,11,1
406110153,1988,"Graduation","Single",51627,0,0,"2012-08-12",84,109,39,43,108,162,205,2,5,3,7,5,0,0,0,0,0,0,3,11,1
202559412,1972,"Graduation","Married",21366,1,0,"2013-05-14",36,31,1,7,0,1,23,2,2,1,2,9,1,0,0,0,0,0,3,11,1
610634087,1952,"Graduation","Divorced",86174,0,0,"2012-11-08",60,214,37,489,238,28,76,1,4,5,4,2,0,0,0,0,0,0,3,11,1
1230105806,1954,"PhD","Single",73099,0,0,"2012-12-25",76,767,73,545,0,73,44,1,4,7,11,2,0,0,0,0,0,0,3,11,1
610635338,1969,"Graduation","Married",19266,0,0,"2013-07-07",63,23,5,132,21,5,79,2,4,2,3,8,1,0,0,0,0,0,3,11,1
1230113084,1963,"Graduation","Single",89431,0,0,"2013-04-20",56,1340,21,735,56,21,21,1,8,7,8,3,0,1,1,0,0,0,3,11,1
202560308,1974,"Graduation","Together",83145,0,0,"2012-09-22",14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,3,11,1
1438666368,1969,"PhD","Married",30396,1,0,"2014-04-30",22,15,0,6,0,1,12,2,1,1,2,7,1,0,0,0,0,0,3,11,1
1438669857,1947,"Graduation","Married",68794,0,0,"2013-07-31",7,615,61,194,93,82,33,1,7,9,9,5,1,0,0,0,0,0,3,11,1
406114744,1954,"Graduation","Married",54662,0,1,"2013-01-02",82,324,11,35,20,3,164,2,7,2,5,7,0,1,1,0,0,0,3,11,1
202556014,1988,"2n Cycle","Married",83079,0,0,"2013-07-25",38,241,38,828,23,26,42,1,5,8,13,2,0,0,0,1,0,0,3,11,1
1022678038,1972,"Master","Together",79555,0,0,"2013-04-24",2,1267,70,821,121,93,23,1,6,8,12,2,0,0,1,1,0,0,3,11,1
1230107833,1983,"PhD","Single",73019,0,0,"2012-12-29",22,844,137,654,45,51,34,1,6,7,13,3,0,0,0,0,0,0,3,11,1
610626923,1976,"Graduation","Married",58597,1,1,"2012-11-20",20,490,0,184,10,28,21,12,7,4,9,7,0,0,0,0,0,0,3,11,1
406112546,1976,"PhD","Together",52318,0,1,"2012-12-09",7,635,0,19,0,0,32,8,9,4,6,9,0,0,0,0,0,0,3,11,1
406112806,1954,"Master","Single",76333,0,0,"2012-10-14",23,582,26,536,0,153,107,1,4,7,12,2,0,0,0,0,0,0,3,11,1
816150901,1951,"Graduation","Together",92676,0,1,"2013-05-23",92,151,47,681,0,94,23,1,10,2,4,7,0,0,1,1,0,0,3,11,1
406106541,1975,"Master","Married",25551,2,0,"2012-09-16",51,16,5,33,7,3,23,2,2,0,3,8,0,0,0,0,0,0,3,11,1
1438667765,1967,"Graduation","Single",65100,0,1,"2013-04-02",30,776,34,262,45,34,52,2,10,9,8,7,1,0,0,0,0,0,3,11,1
610633078,1958,"PhD","Single",40581,1,1,"2012-09-11",37,163,8,109,11,5,17,5,5,2,5,8,0,0,0,0,0,0,3,11,1
1230105124,1992,"Graduation","Together",92238,0,0,"2013-05-22",35,158,49,740,32,74,24,1,7,8,13,5,0,1,1,1,0,0,3,11,1
202556306,1949,"Master","Married",89006,0,1,"2013-06-09",19,1449,35,232,23,53,17,1,11,3,13,7,0,1,1,1,1,0,3,11,1
202552233,1976,"Master","Married",77022,1,0,"2012-08-02",10,1436,35,251,93,0,53,4,7,4,6,8,0,1,0,1,0,0,3,11,1
610633519,1969,"PhD","Together",69476,0,0,"2013-09-30",3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,1
406114986,1956,"Graduation","Married",37747,0,0,"2012-11-01",80,11,35,54,0,86,110,1,3,2,4,6,0,0,0,0,0,0,3,11,1
202552728,1988,"PhD","Single",77639,0,0,"2012-09-25",22,566,15,780,119,76,15,1,8,5,10,5,0,0,0,1,0,0,3,11,1
202561499,1974,"Graduation","Together",37126,1,0,"2013-06-17",50,10,2,38,4,8,17,2,2,1,2,7,0,0,0,0,0,0,3,11,1
406112315,1974,"Graduation","Widow",90669,0,0,"2013-11-15",93,1075,129,537,145,0,74,0,5,8,5,1,1,0,1,0,0,0,3,11,1
406109947,1958,"Graduation","Single",18315,0,0,"2012-09-07",7,29,16,53,33,59,99,3,3,1,5,7,0,0,0,0,0,0,3,11,1
202560081,1984,"Master","Single",18890,0,0,"2012-11-10",5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,3,11,1
202552002,1956,"PhD","Single",54998,0,1,"2013-03-10",3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,0,3,11,1
406107388,1983,"PhD","Single",65010,0,0,"2012-10-10",78,1472,0,112,21,0,192,1,6,3,5,8,0,1,0,1,0,0,3,11,1
610633158,1944,"Master","Together",75284,0,0,"2014-01-03",9,763,99,613,237,16,0,1,3,6,6,1,0,1,0,0,0,0,3,11,1
202553601,1977,"PhD","Married",61996,0,1,"2013-01-31",27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,3,11,1
1438669866,1978,"Graduation","Together",13399,1,0,"2013-11-08",17,4,4,12,0,2,7,2,2,0,3,8,0,0,0,0,0,1,3,11,1
202559562,1984,"PhD","Together",84946,0,0,"2014-05-31",24,1195,34,467,45,17,34,1,7,7,12,3,0,0,1,1,0,0,3,11,1
406112512,1969,"Graduation","Divorced",87538,0,0,"2014-02-17",30,1001,83,433,173,0,150,1,4,6,5,1,0,1,1,0,0,0,3,11,1
406109136,1943,"PhD","Single",95059,0,0,"2013-04-05",69,880,103,127,202,181,25,0,6,11,13,2,0,0,1,1,0,0,3,11,1
406111287,1963,"PhD","Married",81300,0,1,"2012-10-30",17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1
1230105694,1972,"Graduation","Married",80134,1,0,"2013-05-20",40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,3,11,1
816149969,1974,"Graduation","Married",37101,1,0,"2013-05-15",23,125,11,116,7,38,110,4,7,1,4,9,0,0,0,0,0,0,3,11,1
610628190,1976,"PhD","Married",49831,1,0,"2013-04-27",1,427,0,156,8,12,138,4,9,4,5,8,1,0,0,0,0,0,3,11,1
1230105140,1974,"Master","Together",43018,0,1,"2013-11-01",46,35,4,17,7,6,64,1,2,2,2,5,0,0,0,0,0,0,3,11,1
1022671285,1995,"2n Cycle","Single",86365,0,0,"2013-11-08",57,356,38,624,33,22,140,1,6,5,8,3,0,1,1,1,0,0,3,11,1
406105320,1981,"Graduation","Married",92394,0,0,"2013-06-23",76,610,168,778,41,24,126,1,6,3,13,2,0,1,1,1,0,0,3,11,1
1230111226,1988,"Graduation","Divorced",80427,0,0,"2012-09-11",58,833,74,741,145,92,148,1,4,6,8,2,0,0,1,1,0,0,3,11,1
816148436,1957,"Graduation","Single",9138,0,0,"2013-01-06",27,5,4,18,10,15,30,2,2,0,4,8,0,0,0,0,0,0,3,11,1
816151443,1975,"PhD","Single",85233,0,0,"2013-01-17",54,653,163,939,186,163,143,1,5,4,12,3,0,0,0,0,0,0,3,11,1
610629289,1976,"Graduation","Together",40447,1,1,"2013-09-22",14,8,4,12,4,1,12,2,1,1,2,5,0,0,0,0,0,0,3,11,1
610628964,1968,"Master","Married",27663,1,0,"2013-08-20",18,6,0,8,0,0,7,1,1,0,2,7,1,0,0,0,0,0,3,11,1
1022673237,1974,"Graduation","Divorced",53034,1,1,"2013-05-30",30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,3,11,1
1022676271,1991,"Master","Single",95153,0,0,"2012-11-19",56,713,25,448,21,24,33,1,4,4,7,5,0,0,0,0,0,0,3,11,1
406108596,1975,"PhD","Single",48367,0,1,"2012-12-19",88,526,0,59,0,5,17,7,7,3,8,7,0,1,0,0,0,0,3,11,1
1230111508,1964,"PhD","Married",60896,0,1,"2012-10-11",90,1013,30,399,60,46,153,3,9,10,4,6,0,0,0,0,0,0,3,11,1
1230105246,1969,"Graduation","Divorced",55881,0,1,"2013-04-03",20,597,7,92,10,14,156,3,9,2,9,6,0,1,0,1,0,0,3,11,1
1230113683,1952,"PhD","Married",79824,0,1,"2013-04-19",15,675,21,316,56,32,185,3,6,4,6,3,1,0,0,1,0,0,3,11,1
816147225,1974,"Graduation","Divorced",102692,0,0,"2013-04-05",5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,3,11,1
1438670793,1973,"Basic","Together",27190,1,0,"2013-08-15",13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,3,11,1
1230113119,1954,"PhD","Married",52869,1,1,"2012-10-15",40,84,3,61,2,1,21,3,3,1,4,7,0,0,0,0,0,0,3,11,1
816154910,1954,"PhD","Together",90546,0,0,"2013-05-27",21,156,21,483,28,21,42,1,8,3,11,3,1,0,1,0,0,0,3,11,1
816155413,1980,"PhD","Single",76412,0,0,"2013-05-05",15,840,53,804,23,71,17,1,5,4,8,3,0,0,1,1,0,0,3,11,1
816155237,1955,"Graduation","Single",71049,0,0,"2012-09-21",97,295,24,605,55,23,211,1,8,4,9,4,0,0,0,0,0,0,3,11,1
816155953,1950,"PhD","Together",87575,0,0,"2012-12-04",17,694,99,112,25,59,39,1,5,8,7,3,0,0,0,0,0,0,3,11,1
1230106265,1953,"PhD","Married",40085,2,1,"2012-08-13",10,83,0,30,3,1,7,4,3,0,4,8,0,0,0,0,0,0,3,11,1
610632455,1957,"PhD","Married",47496,2,1,"2012-11-19",4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,1
1022671303,1955,"Graduation","Single",76302,0,0,"2013-04-02",28,908,133,133,34,133,120,1,3,6,11,7,0,0,1,0,0,0,3,11,1
610633077,1985,"PhD","Single",16503,1,0,"2012-09-19",8,50,2,57,6,3,38,3,3,0,4,8,0,0,0,0,0,0,3,11,1
1022670946,1981,"Master","Together",26598,1,0,"2013-10-17",14,17,7,22,2,11,27,3,2,1,3,7,0,0,0,0,0,0,3,11,1
406105237,1976,"PhD","Together",72706,0,1,"2012-09-05",71,166,20,347,26,0,122,1,3,6,12,7,1,0,1,1,1,0,3,11,1
1022674956,1978,"Graduation","Married",90033,0,0,"2012-09-22",1,1176,47,635,123,38,235,0,4,9,13,1,0,1,1,0,0,0,3,11,1
406108702,1963,"PhD","Single",27653,1,1,"2012-09-24",27,77,1,12,0,0,1,4,3,0,3,9,0,0,0,0,0,0,3,11,1
202558989,1949,"PhD","Married",36000,1,1,"2013-10-09",52,12,0,13,0,1,2,2,1,1,2,7,0,0,0,0,0,0,3,11,1
610629709,1978,"Graduation","Together",75404,1,0,"2012-08-23",92,1123,69,362,134,69,44,1,2,9,5,6,1,0,1,1,0,0,3,11,1
610628932,1974,"PhD","Married",47988,0,1,"2013-01-06",27,693,0,123,0,0,41,10,2,3,7,9,1,0,0,0,1,0,3,11,1
1230113172,1952,"Master","Married",27507,1,1,"2012-12-15",5,38,4,23,3,9,30,4,3,0,4,8,0,0,0,0,0,0,3,11,1
406110216,1972,"PhD","Together",45877,1,0,"2013-01-06",82,146,10,91,13,2,70,4,6,2,3,8,1,0,0,0,0,0,3,11,1
610634682,1955,"2n Cycle","Widow",69871,0,0,"2012-10-01",61,518,76,960,199,22,76,3,4,7,8,4,0,0,0,0,0,0,3,11,1
1438664982,1960,"Graduation","Together",35865,1,1,"2012-10-14",13,120,26,97,0,18,89,7,5,1,5,9,0,0,0,0,0,0,3,11,1
1438661868,1964,"2n Cycle","Divorced",88712,0,0,"2013-11-19",98,323,33,611,163,40,215,1,4,9,4,1,0,0,1,1,0,0,3,11,1
202559695,1966,"PhD","Married",44997,1,1,"2013-11-03",21,23,0,13,0,1,11,1,1,1,2,6,1,0,0,0,0,0,3,11,1
610632962,1969,"Graduation","Divorced",87538,0,0,"2014-02-17",30,1001,83,433,173,0,150,1,4,6,5,1,0,1,1,0,0,0,3,11,1
1022677211,1990,"PhD","Married",87570,0,0,"2014-06-21",21,167,22,489,29,22,44,0,7,8,9,6,1,0,1,1,0,0,3,11,1
1022669284,1972,"Master","Married",53761,1,1,"2013-10-11",7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,3,11,1
816152062,1973,"Master","Single",25731,1,0,"2013-04-25",29,10,0,5,0,0,8,1,1,0,2,8,1,0,0,0,0,0,3,11,1
610632963,1980,"Graduation","Together",39564,1,0,"2014-02-17",7,32,5,23,4,1,30,1,2,1,2,6,1,0,0,0,0,0,3,11,1
1230113466,1962,"2n Cycle","Together",84906,0,0,"2012-11-06",68,757,21,757,186,21,225,1,7,6,8,5,0,1,0,1,0,0,3,11,1
1438665483,1973,"Graduation","Married",92955,0,0,"2013-08-19",35,693,21,925,31,24,84,1,6,7,9,2,0,0,1,1,0,0,3,11,1
1438669788,1972,"PhD","Single",62793,0,1,"2013-06-05",27,1067,0,133,0,0,36,6,2,3,13,7,0,1,0,0,0,0,3,11,1
1022671349,1984,"Master","Single",31385,1,0,"2012-12-05",56,3,2,12,0,1,9,1,1,0,2,8,1,0,0,0,0,0,3,11,1
610631926,1965,"PhD","Divorced",35891,1,1,"2012-12-26",21,162,2,53,3,0,4,6,5,1,4,9,0,0,0,0,0,0,3,11,1
406109883,1983,"Graduation","Together",84103,0,0,"2013-09-03",61,1070,0,552,67,34,155,1,10,8,8,4,1,0,1,0,0,0,3,11,1
1438669959,1968,"Graduation","Together",65052,0,1,"2013-03-07",66,1462,16,132,0,49,116,4,6,6,13,7,0,1,1,1,1,1,3,11,1
610633978,1970,"Graduation","Married",73554,0,1,"2013-04-28",1,653,43,326,28,32,21,2,4,8,4,2,0,0,0,0,0,0,3,11,1
610631478,1960,"PhD","Widow",43643,1,1,"2012-09-24",1,209,5,73,7,0,32,7,5,1,6,8,0,0,0,0,0,0,3,11,1
1438668480,1972,"Graduation","Single",24762,1,0,"2014-02-10",16,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,0,3,11,1
816149771,1943,"PhD","Married",67968,0,0,"2013-01-27",37,590,81,244,132,0,10,1,7,4,4,4,0,0,0,0,0,0,3,11,1
1022676715,1984,"PhD","Together",76389,0,0,"2013-07-09",6,703,37,851,193,111,111,2,3,10,5,1,0,0,0,0,0,0,3,11,1
202561448,1982,"Graduation","Married",69109,0,0,"2012-11-09",10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,0,3,11,1
816149624,1979,"Graduation","Single",67559,0,1,"2012-10-24",11,477,61,335,93,71,111,5,6,5,4,6,0,0,0,0,0,0,3,11,1
406113676,1984,"PhD","Single",39684,1,0,"2012-10-12",41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,3,11,1
610630559,1968,"Graduation","Single",80475,0,0,"2014-06-15",37,192,39,282,47,64,56,1,5,9,5,2,0,0,0,0,0,0,3,11,1
610628284,1957,"PhD","Divorced",82671,0,0,"2014-02-22",95,954,28,393,19,14,14,1,4,9,8,2,0,1,1,1,0,0,3,11,1
1230108172,1982,"Graduation","Single",74227,0,0,"2012-10-02",33,765,103,250,31,117,58,1,3,3,6,6,0,0,0,0,0,0,3,11,1
816152855,1995,"Basic","Single",23628,0,0,"2012-08-11",60,6,23,24,17,23,37,1,3,0,3,9,0,0,0,0,0,0,3,11,1
610633063,1972,"2n Cycle","Together",52633,0,1,"2012-09-10",0,722,19,192,12,19,77,5,2,2,10,8,0,1,0,0,0,0,3,11,1
816152551,1955,"Graduation","Divorced",87773,0,0,"2012-10-12",38,175,75,606,33,75,50,1,8,9,12,8,0,1,1,1,0,0,3,11,1
1230108333,1981,"PhD","Married",78642,0,0,"2012-12-16",89,827,86,689,89,51,34,1,3,2,11,1,0,0,0,1,0,0,3,11,1
816149489,1983,"PhD","Married",92491,0,0,"2013-05-01",71,979,44,935,29,25,22,1,7,5,12,3,0,1,1,1,0,0,3,11,1
1438664687,1950,"PhD","Together",33164,0,0,"2012-09-07",1,109,18,53,2,1,12,2,4,1,4,8,0,0,0,0,0,0,3,11,1
202556026,1953,"Graduation","Divorced",62551,0,0,"2013-11-18",27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,1
1022672795,1977,"Graduation","Married",74985,0,0,"2012-09-11",8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,3,11,1
406107010,1978,"Master","Married",62769,0,1,"2013-02-03",22,107,5,315,23,148,83,1,6,3,9,4,0,0,0,0,0,1,3,11,1
1022676108,1954,"Graduation","Divorced",85683,0,0,"2014-03-21",6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,0,3,11,1
1230113985,1952,"Graduation","Single",79755,0,0,"2012-08-30",1,495,79,115,180,138,39,1,6,6,8,4,0,0,0,0,0,0,3,11,1
406107200,1960,"PhD","Together",55658,0,1,"2012-08-22",8,355,4,70,0,8,17,6,8,1,6,7,0,0,0,0,0,0,3,11,1
202561309,1945,"PhD","Married",98754,0,0,"2013-09-02",49,1324,147,546,28,63,34,1,2,9,11,1,1,0,1,1,0,0,3,11,1
406108528,1949,"PhD","Married",55496,0,2,"2012-10-23",4,633,25,150,33,0,58,9,7,4,11,6,0,0,0,1,0,0,3,11,1
202557744,1972,"Graduation","Single",49584,0,1,"2012-08-14",23,288,6,264,32,18,30,7,6,2,10,6,0,0,0,0,0,0,3,11,1
1438665489,1988,"Graduation","Together",38856,1,0,"2013-11-23",17,24,15,31,7,13,32,2,3,1,3,8,0,0,0,0,0,0,3,11,1
1022670765,1983,"2n Cycle","Single",81698,0,0,"2013-03-01",1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,3,11,1
1230108642,1984,"PhD","Single",42710,1,0,"2012-11-28",38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,3,11,1
1438668803,1976,"Graduation","Married",72433,0,0,"2012-12-28",12,399,24,732,33,49,66,1,3,6,6,2,0,0,0,0,0,0,3,11,1
610628264,1959,"Graduation","Together",87771,0,1,"2013-05-22",61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,3,11,1
1022672520,1951,"Graduation","Single",72282,0,0,"2013-07-19",70,503,27,419,90,139,153,1,5,7,9,7,0,0,0,0,0,0,3,11,1
